date,841,47,1190,1191,1140,1213,1013,1214,806,810,1317
2018-03-01,57,46,22,29,30,49,31,68,21,38,20
2018-04-01,54,49,22,38,35,57,30,74,25,43,21
2018-05-01,56,49,23,44,41,70,28,75,25,45,20
2018-06-01,53,47,24,44,48,75,28,73,25,39,19
2018-07-01,57,49,23,41,59,85,29,68,21,38,20
2018-08-01,55,48,21,36,51,78,28,66,22,36,22
2018-09-01,53,45,21,29,37,58,28,66,22,36,20
2018-10-01,52,45,22,22,30,42,28,64,20,40,20
2018-11-01,63,44,50,21,26,32,26,58,19,38,19
2018-12-01,69,38,24,19,23,25,26,55,18,34,19
2019-01-01,52,43,25,21,27,35,27,59,20,36,20
2019-02-01,51,42,24,21,29,39,27,65,19,36,20
2019-03-01,51,47,23,29,32,50,29,71,22,42,21
2019-04-01,57,50,26,39,34,58,28,77,22,58,24
2019-05-01,57,49,24,41,40,69,27,76,21,57,20
2019-06-01,56,50,26,42,47,72,28,73,23,45,20
2019-07-01,55,49,23,43,56,82,28,69,20,40,20
2019-08-01,57,51,22,39,49,78,28,66,22,40,20
2019-09-01,55,53,41,31,35,58,28,67,22,45,19
2019-10-01,57,46,55,24,25,40,27,65,21,49,20
2019-11-01,63,45,24,22,24,28,28,59,19,46,21
2019-12-01,72,40,21,20,22,25,31,55,17,38,22
2020-01-01,53,41,22,21,24,32,26,57,19,42,21
2020-02-01,54,42,20,22,25,39,26,59,20,40,21
2020-03-01,81,39,36,28,23,37,26,56,19,32,22
2020-04-01,100,42,26,51,30,39,27,62,23,29,21
2020-05-01,87,50,27,72,47,65,27,71,23,33,22
2020-06-01,74,54,26,69,61,88,27,80,23,38,21
2020-07-01,69,54,23,60,70,100,28,77,23,41,21
2020-08-01,65,50,23,50,60,84,27,72,22,41,21
2020-09-01,66,46,22,38,36,63,27,71,21,41,20
2020-10-01,68,44,22,31,27,45,26,67,19,38,19
2020-11-01,77,42,23,26,24,31,24,60,17,40,18
2020-12-01,85,40,20,25,24,28,25,55,17,38,18
2021-01-01,67,41,27,26,26,40,25,59,17,39,18
2021-02-01,64,42,25,29,28,48,25,66,18,45,18
2021-03-01,60,47,25,49,33,62,27,74,19,50,19
2021-04-01,71,50,24,57,39,65,27,79,19,44,19
