"REF_DATE","GEO","DGUID","Sales","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-10","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","52694347","A","","","0"
"2019-10","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1429546","A","","","0"
"2019-10","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","1877598","A","","","0"
"2019-10","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","1963123","A","","","0"
"2019-11","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","53454110","A","","","0"
"2019-11","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1778232","A","","","0"
"2019-11","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","2477045","A","","","0"
"2019-11","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","1950150","A","","","0"
"2019-12","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","54550854","A","","","0"
"2019-12","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1994515","A","","","0"
"2019-12","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","2819549","A","","","0"
"2019-12","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","2047742","A","","","0"
"2020-01","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","43599569","A","","","0"
"2020-01","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1287305","A","","","0"
"2020-01","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","1763378","A","","","0"
"2020-01","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","1991173","A","","","0"
"2020-02","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","43213338","A","","","0"
"2020-02","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1236430","A","","","0"
"2020-02","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","1689265","A","","","0"
"2020-02","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","2161541","A","","","0"
"2020-03","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","43621830","A","","","0"
"2020-03","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1667146","A","","","0"
"2020-03","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","2379817","A","","","0"
"2020-03","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","2583398","A","","","0"
"2020-04","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","34561639","A","","","0"
"2020-04","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","2110237","A","","","0"
"2020-04","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","3797262","B","","","0"
"2020-04","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","3944600","B","","","0"
"2020-05","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","47827359","A","","","0"
"2020-05","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","2342069","A","","","0"
"2020-05","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","4163883","B","","","0"
"2020-05","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","3969844","B","","","0"
"2020-06","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","57040626","A","","","0"
"2020-06","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","2163712","A","","","0"
"2020-06","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","3495999","B","","","0"
"2020-06","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","3547149","B","","","0"
"2020-07","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","57484686","A","","","0"
"2020-07","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1972900","A","","","0"
"2020-07","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","3034263","B","","","0"
"2020-07","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","3535532","B","","","0"
"2020-08","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","54866191","A","","","0"
"2020-08","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","2130277","C","","","0"
"2020-08","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","3167082","B","","","0"
"2020-08","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","3579096","B","","","0"
"2020-09","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","55903643","A","","","0"
"2020-09","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","2235689","A","","","0"
"2020-09","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","3244443","A","","","0"
"2020-09","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","3535832","A","","","0"
"2020-10","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","57667259","A","","","0"
"2020-10","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","2110432","A","","","0"
"2020-10","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","3294369","A","","","0"
"2020-10","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","3451515","A","","","0"
"2020-11","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","56286573","A","","","0"
"2020-11","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","2732849","A","","","0"
