date,569,23,47,815,170,249,71,276,634,250,168,437,11,29,96,18,67,179,5,68,78,696,329,95,423,279,1160,813,466,468,46,750,747,121,123,697,1176,1268,288,248,30,287,612,13,31,7,38,969,477,25,380,1010,726,76,74,256,508,20,1199,144,748,48,255,50,664,60,802,621,1140,841,289,665,662,354,666,1150,277,650,651,652,158,1143,70,271,270,794,233,473,1339,932,882,94,293,205,208,1081,73,1188,185,610,206,1003,918,355,145,894,960,961,378,465,1164,784,1209,396,408,832,952,1139,107,903,343,77,278,1300,730,341,334,314,718,728,1162,53,342,1159,1214,670,12,566,672,673,49
2009-09-01,54,52,53,54,71,65,58,68,59,68,46,48,52,58,57,57,51,47,38,60,41,20,69,59,64,70,55,70,53,56,61,32,40,30,44,54,46,10,53,69,35,55,38,75,30,66,73,63,35,42,52,45,77,45,55,73,75,60,39,54,69,64,34,59,50,54,46,52,39,48,57,49,34,31,14,44,53,61,42,72,60,50,30,52,66,54,54,52,51,11,61,60,54,44,45,45,62,59,60,64,44,44,41,51,61,33,65,35,65,49,38,39,39,9,74,60,26,50,36,41,29,45,26,52,33,33,44,17,24,43,12,28,36,54,60,36,55,54,48,42,33
2009-10-01,54,54,53,53,68,62,65,79,73,71,49,57,53,55,54,61,50,45,38,78,40,21,73,52,59,71,51,59,52,57,62,35,37,31,48,64,48,11,58,74,36,54,28,73,34,67,70,63,37,49,52,51,80,44,52,78,78,61,39,53,67,64,36,58,54,53,40,48,27,51,56,44,33,35,14,44,56,62,42,77,62,50,34,55,68,52,56,50,51,11,61,58,54,44,41,40,63,58,59,66,40,39,48,39,60,36,62,33,58,56,44,41,37,10,72,60,24,51,39,41,29,47,27,60,33,35,41,18,23,45,13,28,37,58,58,46,56,57,47,43,34
2009-11-01,55,53,49,49,63,60,63,70,68,67,47,57,51,51,51,63,47,41,38,67,45,22,71,54,66,67,47,56,50,55,53,33,36,30,47,61,46,10,54,70,36,54,28,73,33,64,66,60,38,52,52,52,77,45,50,78,76,59,37,56,60,61,36,58,48,50,46,43,23,61,52,45,32,35,16,43,52,57,40,70,57,57,37,58,73,56,58,45,44,9,61,57,47,38,38,40,76,61,58,64,44,40,42,43,56,41,60,30,57,52,46,39,37,11,70,62,19,47,37,42,30,46,25,60,35,36,39,17,29,43,12,26,40,58,55,42,54,51,44,43,34
2009-12-01,51,50,46,45,60,58,68,70,50,55,39,48,49,45,44,65,49,40,39,71,51,23,66,51,55,62,46,48,43,50,45,26,27,31,42,66,40,9,43,66,36,47,30,70,30,58,58,52,31,44,47,54,80,37,41,62,68,55,27,60,55,51,28,68,40,40,37,36,21,75,50,39,35,32,16,57,66,49,35,63,51,61,44,61,64,63,48,42,40,10,60,56,37,38,40,39,90,68,55,59,36,46,42,51,63,34,46,23,48,46,38,34,37,7,69,52,17,42,32,41,26,40,23,51,29,28,32,18,22,42,10,25,32,45,50,35,51,45,37,35,28
2010-01-01,55,45,48,49,62,64,60,69,60,62,55,50,50,58,53,55,55,50,37,62,41,20,70,57,61,68,50,69,52,54,47,31,35,29,45,53,45,8,46,66,36,53,44,69,30,65,67,59,36,45,49,73,77,42,52,72,74,58,34,55,55,57,31,58,41,54,40,40,25,52,50,43,35,32,15,46,53,56,39,77,56,54,30,55,70,48,54,47,39,8,60,72,62,43,45,61,57,55,57,60,57,42,44,45,67,33,65,33,70,52,41,37,41,8,68,61,19,48,35,48,27,42,35,55,33,33,48,17,22,40,13,28,34,55,52,36,53,52,41,38,32
2010-02-01,50,44,48,48,64,61,59,72,57,58,45,54,48,58,57,53,52,46,35,58,36,21,70,52,60,69,59,67,57,57,48,32,34,28,42,48,42,8,49,67,34,51,47,67,32,66,67,63,37,45,48,63,78,43,47,70,70,88,37,54,55,57,31,58,48,53,39,39,27,49,54,43,34,31,15,45,49,53,39,74,54,46,34,48,63,43,51,46,43,7,58,63,54,40,45,55,54,48,63,59,46,42,44,39,68,32,66,34,66,51,39,36,36,8,71,57,19,48,33,50,28,43,46,56,33,34,45,17,26,42,15,28,35,55,56,39,53,53,48,39,34
2010-03-01,52,44,53,51,68,62,57,68,63,65,41,53,50,61,59,55,50,45,35,61,36,21,72,55,60,69,65,64,66,60,54,33,35,28,44,56,45,10,52,67,31,54,53,67,31,72,72,61,39,48,51,55,82,46,47,73,72,56,38,55,59,60,33,56,46,55,37,41,32,50,64,44,33,32,15,44,49,56,42,81,57,48,30,48,66,45,55,50,38,7,59,62,52,46,45,57,56,53,56,66,49,42,45,37,66,35,69,35,69,55,46,40,34,9,70,58,25,48,34,44,29,45,56,58,32,32,48,17,26,39,18,27,39,57,59,41,54,52,46,40,34
2010-04-01,49,47,54,52,67,61,55,68,58,61,41,52,53,60,61,53,49,42,35,61,36,19,72,50,61,70,59,63,65,61,60,32,36,29,43,57,45,10,49,67,30,52,30,65,30,72,70,61,37,47,52,43,81,42,47,72,70,57,34,58,67,63,31,57,47,54,41,41,36,51,60,44,36,33,15,45,50,60,41,85,57,44,32,49,62,46,57,51,42,7,59,60,54,45,41,54,57,55,54,61,39,40,47,38,63,39,61,33,68,54,42,40,42,9,70,58,29,53,34,43,27,43,54,54,33,32,44,17,21,38,19,26,37,56,60,43,53,55,47,39,33
2010-05-01,47,46,51,49,64,55,53,64,55,58,39,44,53,56,55,51,46,42,31,57,33,20,64,45,53,63,45,54,47,52,60,38,36,28,42,51,41,10,46,60,28,50,27,64,27,60,63,58,32,39,50,36,77,40,42,67,63,50,31,60,64,61,29,55,43,52,42,35,43,50,55,46,32,30,15,40,50,60,37,71,57,42,37,47,59,47,54,46,49,8,57,55,50,47,42,52,55,52,51,56,40,40,41,36,61,35,60,32,63,54,39,38,45,8,68,55,41,47,32,36,26,40,28,50,31,31,39,13,21,35,13,24,32,48,58,42,51,49,47,33,30
2010-06-01,50,42,50,47,66,57,50,62,56,57,40,42,52,56,51,51,49,44,31,55,33,19,64,43,59,62,47,53,46,53,55,38,34,27,42,49,40,8,46,59,28,50,27,65,27,59,65,61,29,39,50,37,79,41,40,66,62,64,30,58,62,58,28,55,40,48,37,33,46,45,56,48,32,29,14,42,47,58,34,77,56,44,33,48,57,47,56,45,44,53,54,54,54,53,47,58,55,51,48,58,44,40,40,36,54,30,56,29,63,49,33,40,64,7,68,54,37,45,29,38,26,42,27,31,32,30,32,12,22,35,13,25,31,48,55,45,50,45,43,31,30
