date,841,47,1190,1191,1140,1213,1013,1214,806,810,1317,273,148,1147,1212,610,815,1294,170,138,89,473,803,121,276,650,73,355,1146,18,1225,270,659,1268,38,844,614
2010-07-01,44,51,25,47,54,67,32,53,32,34,22,49,25,45,30,56,49,64,67,49,56,45,77,27,68,58,59,38,31,51,43,59,48,10,63,31,52
2010-08-01,42,51,28,46,48,64,32,54,33,30,23,48,27,44,30,59,49,64,66,48,57,46,80,26,67,53,63,41,29,52,47,61,44,8,62,34,53
2010-09-01,44,48,26,37,34,43,31,51,31,34,19,40,31,37,32,58,48,65,60,44,56,43,79,28,63,52,57,45,28,54,44,59,46,8,63,34,49
2010-10-01,42,44,29,31,23,32,31,48,31,34,22,36,31,36,25,55,46,58,56,45,57,41,69,26,64,51,57,37,30,53,44,58,46,8,58,34,48
2010-11-01,49,45,30,25,19,24,30,45,29,35,20,32,38,35,23,56,45,59,53,44,60,40,61,28,63,52,72,43,37,57,56,64,46,9,58,32,51
2010-12-01,56,40,24,21,19,21,27,41,28,33,18,30,48,32,19,51,41,54,50,38,51,36,48,30,61,43,82,49,43,62,54,53,41,9,53,31,47
2011-01-01,52,51,28,28,30,33,35,51,34,42,23,41,67,38,22,75,51,66,53,44,54,46,68,35,70,56,60,47,36,61,49,70,53,11,66,39,55
2011-02-01,49,49,26,30,30,38,32,53,33,37,22,41,63,37,23,73,53,61,51,45,52,46,56,30,69,56,49,35,30,56,40,63,53,14,64,39,71
2011-03-01,49,54,31,42,34,51,34,65,33,46,23,46,52,39,28,77,55,68,54,50,60,50,49,34,66,60,54,35,33,58,52,65,56,15,71,43,66
2011-04-01,54,58,30,52,40,62,37,72,34,47,26,56,41,40,35,76,59,68,57,61,66,55,36,38,67,61,57,38,32,61,57,65,52,20,69,42,60
2011-05-01,52,54,25,53,46,65,36,63,34,40,23,54,31,38,35,69,54,67,57,60,61,51,28,35,65,63,57,35,31,58,54,61,51,21,67,39,60
2011-06-01,50,54,27,54,54,68,35,59,34,37,23,54,27,39,34,70,53,64,52,58,59,51,28,35,66,66,56,33,31,56,52,59,50,14,66,38,64
2011-07-01,49,52,25,55,62,75,33,54,32,30,21,52,27,35,33,68,51,65,55,55,56,48,27,35,65,62,57,32,36,55,53,57,43,13,62,33,61
2011-08-01,51,54,24,50,59,76,33,57,34,35,22,48,32,36,33,76,55,63,57,60,57,51,29,36,67,58,62,40,36,59,62,64,47,14,64,37,55
2011-09-01,51,50,25,42,45,51,32,60,32,34,20,40,38,35,30,70,52,60,50,54,59,45,29,35,63,58,59,43,40,58,59,64,47,13,66,36,58
2011-10-01,50,51,27,34,35,36,33,57,31,43,22,36,41,32,28,68,51,60,49,59,64,54,25,34,66,58,62,36,40,61,59,66,50,12,62,38,53
2011-11-01,56,47,27,30,31,25,33,56,30,43,22,32,48,34,25,69,51,62,49,59,72,45,22,35,69,58,75,40,53,67,68,71,52,12,64,37,64
2011-12-01,67,43,23,25,30,22,28,50,30,33,21,34,52,32,22,64,45,59,43,48,54,42,19,39,70,48,84,45,54,70,72,63,45,11,58,36,63
2012-01-01,49,45,24,26,36,29,31,53,31,38,21,36,58,33,22,67,46,57,47,50,52,43,28,38,67,53,57,42,38,57,57,66,52,11,64,38,56
2012-02-01,46,48,26,31,37,39,30,56,31,42,20,38,57,33,24,70,48,59,47,50,51,44,30,35,68,56,52,33,31,56,55,62,53,12,62,36,62
2012-03-01,46,51,26,43,41,49,33,69,31,47,22,47,46,34,30,72,51,61,53,61,58,51,30,36,70,59,55,33,37,59,59,63,52,15,68,36,63
2012-04-01,49,54,24,51,43,58,36,74,34,49,20,56,37,35,34,75,54,60,52,66,64,51,24,39,67,60,55,35,32,59,70,63,51,17,67,36,65
2012-05-01,47,52,28,52,45,63,33,70,32,41,18,49,31,36,33,69,51,60,52,64,58,47,19,37,64,62,56,32,29,57,69,58,50,14,65,35,58
2012-06-01,46,50,28,52,50,66,31,68,36,36,20,50,28,34,34,70,49,60,49,61,57,46,21,37,67,61,54,31,29,56,69,58,49,14,62,32,56
2012-07-01,46,52,23,52,62,75,29,63,30,38,20,47,28,34,32,69,49,61,53,62,56,45,19,35,67,61,55,32,33,54,70,57,44,12,62,32,54
2012-08-01,46,51,23,50,56,70,29,64,30,34,19,44,32,33,32,72,49,59,55,65,55,46,23,36,68,57,57,36,37,57,68,62,47,12,64,36,48
2012-09-01,47,50,30,40,46,52,32,63,31,38,22,41,38,33,33,71,50,59,52,64,58,47,23,38,65,60,58,39,34,59,70,65,49,15,64,35,56
