date,841,47,1190,1191,1140,1213,1013,1214,806,810,1317,273,148,1147,1212,610,815,1294,170,138,89,473,803,121,276,650,73,355,1146,18,1225,270,659,1268,38,844,614
2007-11-01,70,67,57,36,33,43,46,74,57,66,31,45,60,64,37,74,66,75,72,59,89,73,20,29,73,75,92,59,76,84,69,91,64,13,83,56,87
2007-12-01,82,59,44,32,30,33,43,65,52,56,28,41,79,53,30,72,59,62,60,48,79,62,16,31,71,58,99,62,100,87,63,76,51,11,71,44,77
2008-01-01,59,64,50,32,38,49,42,70,54,64,33,52,74,60,31,72,65,69,68,52,68,71,45,30,71,68,59,54,63,74,49,83,59,13,89,51,68
2008-02-01,55,63,50,35,39,55,39,72,51,62,32,55,62,54,31,75,67,67,61,55,67,69,43,30,68,65,53,48,43,66,47,74,57,14,81,47,83
2008-03-01,58,66,61,45,40,61,44,80,49,65,31,64,59,57,35,77,67,65,65,56,71,75,41,30,63,66,57,47,55,70,51,76,57,15,83,48,74
2008-04-01,53,72,63,69,44,66,42,84,51,78,38,76,47,56,53,74,72,72,74,61,81,80,29,29,64,73,58,44,41,67,51,75,65,22,87,46,77
2008-05-01,60,66,52,70,50,68,42,81,49,86,34,75,40,57,60,70,65,66,73,59,71,77,17,29,64,71,58,42,39,66,50,69,62,24,84,43,66
2008-06-01,53,64,49,67,52,67,39,75,42,100,38,72,37,50,60,65,62,63,67,55,70,71,20,28,62,72,57,38,41,62,48,66,61,26,77,38,68
2008-07-01,52,65,49,66,65,73,32,72,45,77,35,70,37,54,56,64,62,67,66,54,68,68,18,28,62,66,59,41,39,62,51,69,56,21,78,38,66
2008-08-01,53,61,41,60,59,73,36,70,44,58,34,62,40,51,49,67,60,63,66,50,68,65,23,29,62,64,61,49,39,65,53,70,51,14,73,39,73
2008-09-01,51,58,38,47,39,56,37,66,48,62,31,53,43,46,37,63,59,67,62,49,66,64,23,28,57,63,52,53,41,63,48,69,60,25,77,41,74
2008-10-01,52,55,64,33,28,39,36,58,43,55,30,43,47,48,30,60,54,63,60,51,71,60,25,28,57,63,56,38,44,64,47,69,63,22,76,42,64
2008-11-01,59,55,84,28,27,29,32,57,42,53,28,37,49,45,30,60,53,63,57,47,73,54,18,30,60,60,71,44,55,66,56,74,52,18,69,38,67
2008-12-01,69,49,83,25,26,24,31,52,39,47,25,35,62,44,24,58,48,56,51,43,64,47,15,32,60,50,83,50,67,72,53,63,44,14,62,34,80
2009-01-01,55,53,50,26,30,35,34,60,43,51,28,43,76,46,27,64,54,58,54,45,56,56,35,30,64,58,55,50,44,60,45,69,51,14,72,38,68
2009-02-01,49,53,56,30,33,42,36,63,43,51,28,48,62,51,28,61,54,63,55,47,56,55,43,30,66,56,47,41,38,56,42,62,48,12,71,37,67
2009-03-01,49,59,60,45,36,46,33,68,41,55,26,55,50,48,35,64,59,69,60,50,62,60,38,30,63,62,50,38,40,57,43,67,54,12,77,38,76
2009-04-01,56,60,63,57,37,53,36,69,43,55,28,64,38,43,41,64,63,67,64,51,69,60,28,30,66,64,53,38,32,58,44,62,44,11,77,37,73
2009-05-01,53,56,67,57,45,57,33,64,40,47,25,61,33,44,39,61,56,70,66,50,63,56,23,30,67,62,52,36,27,55,41,58,41,12,71,33,60
2009-06-01,48,56,55,55,51,57,34,63,40,47,22,62,29,45,38,58,53,63,70,50,62,54,24,28,64,61,51,35,28,53,38,56,43,10,73,33,60
2009-07-01,49,56,37,55,61,71,31,62,38,41,24,58,31,43,37,61,55,67,72,50,65,57,30,29,71,60,55,41,33,56,43,65,40,12,72,32,63
2009-08-01,50,59,35,50,57,67,34,64,42,46,24,57,33,47,34,65,57,70,78,50,65,60,37,30,76,61,63,47,36,59,47,68,43,10,74,34,60
