date,Economic crisis,Crisis,Recession,Financial crisis,Krach,Unemployment,Unemployment benefits,Student loan,Loan,Interest,Mortgage,Auto Financing,Birthday,Temporary jobs,Affordable housing,Lawyer,public debt,office space,Housing bubble,Bankruptcy,Exportation,Commercial Building,Foreclosure
2013-11-01,6,12,26,19,22,13,11,36,43,35,29,37,49,41,26,58,32,46,18,21,19,46,25
2013-12-01,0,10,23,14,21,11,5,35,40,31,24,24,45,36,16,52,24,38,24,19,17,45,24
2014-01-01,6,9,42,6,14,14,14,44,51,39,36,61,75,30,32,60,27,52,28,24,16,49,36
2014-02-01,3,16,47,28,11,13,9,38,51,44,36,47,60,40,28,62,60,50,25,24,19,49,36
2014-03-01,3,7,21,0,7,11,7,45,57,47,44,46,59,41,28,64,58,55,27,26,21,53,37
2014-04-01,4,16,26,7,15,12,7,41,54,45,41,41,54,47,29,64,55,60,20,25,27,53,37
2014-05-01,12,12,36,0,13,11,7,47,57,45,43,47,54,63,39,68,53,46,28,26,21,61,31
2014-06-01,5,7,26,8,9,12,8,55,55,42,39,32,68,71,18,72,42,44,26,25,9,44,28
2014-07-01,0,4,5,8,6,11,5,55,60,40,37,64,55,43,47,71,15,45,23,25,13,49,31
2014-08-01,3,5,5,16,6,10,6,75,60,40,35,47,48,34,35,66,27,49,22,27,11,33,31
2014-09-01,3,6,34,0,8,10,8,59,57,40,35,54,49,42,45,70,31,64,30,30,20,49,25
2014-10-01,7,12,32,7,20,10,14,41,53,39,32,34,46,48,12,69,34,54,33,28,18,47,28
2014-11-01,12,19,37,14,16,11,10,37,47,40,31,35,41,39,24,68,54,58,21,27,17,41,25
2014-12-01,5,11,5,21,18,11,6,36,45,35,25,25,31,22,28,61,46,49,25,25,16,38,24
2015-01-01,1,10,21,7,22,13,8,54,56,55,44,32,52,43,22,63,30,52,36,30,15,47,31
2015-02-01,6,9,24,15,11,14,6,45,56,54,40,36,55,55,29,65,44,53,21,29,19,47,31
2015-03-01,0,6,31,20,12,13,10,50,59,54,45,31,46,34,56,70,43,55,22,29,20,61,29
2015-04-01,7,9,26,0,17,12,9,46,59,52,44,27,59,59,15,70,48,52,31,28,23,50,23
2015-05-01,4,6,13,0,15,12,5,44,59,43,40,21,36,50,35,72,23,51,31,24,19,47,26
2015-06-01,9,10,27,7,8,10,7,54,62,47,39,36,52,35,23,78,47,50,25,30,14,46,28
2015-07-01,9,8,18,13,7,11,5,56,65,50,43,64,45,44,38,78,54,49,25,40,8,55,29
2015-08-01,1,6,18,13,18,12,5,69,68,42,39,48,48,47,27,72,34,46,28,29,9,46,30
2015-09-01,0,6,51,7,12,12,8,66,61,48,36,46,56,43,44,76,37,50,23,28,24,46,27
2015-10-01,5,7,37,18,11,11,6,50,57,48,33,32,58,46,38,73,64,52,30,26,16,44,22
2015-11-01,4,5,30,19,12,12,7,45,55,45,32,37,59,34,18,73,34,50,23,26,17,53,24
2015-12-01,1,7,26,27,17,13,8,34,51,51,30,15,56,24,15,64,28,45,21,24,20,61,21
2016-01-01,6,16,21,19,5,14,5,53,60,57,38,35,63,29,15,77,37,52,33,63,18,54,32
2016-02-01,4,11,27,7,13,14,7,53,64,53,39,56,43,37,23,85,44,58,35,62,19,63,34
